t_qh,solar_e_prod_normalized,ambient_temperature_deg_c
583,0,3.1
584,0,3.1
585,0,2.4
586,0,2.4
587,0,2.4
588,0,2.4
589,0,2.1
590,0,2.1
591,0,2.1
592,0,2.1
593,0,1.7
594,0,1.7
595,0,1.7
596,0,1.7
597,0,1.3
598,0,1.3
599,0,1.3
600,0,1.3
601,0,1
602,0,1
603,0,1
604,0,1
605,0,0.8
606,0,0.8
607,0,0.8
608,0,0.8
609,0.041666667,0.7
610,0.041666667,0.7
611,0.041666667,0.7
612,0.041666667,0.7
613,0.116666667,1.8
614,0.116666667,1.8
615,0.116666667,1.8
616,0.116666667,1.8
617,0.155555556,3.6
618,0.155555556,3.6
619,0.155555556,3.6
620,0.155555556,3.6
621,0.083333333,5.3
622,0.083333333,5.3
623,0.083333333,5.3
624,0.083333333,5.3
625,0.036111111,6.3
626,0.036111111,6.3
627,0.036111111,6.3
628,0.036111111,6.3
629,0.025,6.8
630,0.025,6.8
631,0.025,6.8
632,0.025,6.8
633,0.047222222,6.9
634,0.047222222,6.9
635,0.047222222,6.9
636,0.047222222,6.9
637,0.008333333,6.2
638,0.008333333,6.2
639,0.008333333,6.2
640,0.008333333,6.2
641,0,5
642,0,5
643,0,5
644,0,5
645,0,4.7
646,0,4.7
647,0,4.7
648,0,4.7
649,0,4.3
650,0,4.3
651,0,4.3
652,0,4.3
653,0,4
654,0,4
655,0,4
656,0,4
657,0,3.7
658,0,3.7
659,0,3.7
660,0,3.7
661,0,3.4
662,0,3.4
663,0,3.4
664,0,3.4
665,0,3.1
666,0,3.1
667,0,3.1
668,0,3.1
669,0,2.8
670,0,2.8
671,0,2.8
672,0,2.8
673,0,2.7
674,0,2.7
675,0,2.7
676,0,2.7
677,0,2.6
678,0,2.6
679,0,2.6
680,0,2.6
681,0,2.6
682,0,2.6
683,0,2.6
684,0,2.6
685,0,2.5
686,0,2.5
687,0,2.5
688,0,2.5
689,0,2.5
690,0,2.5
691,0,2.5
692,0,2.5
693,0,2.5
694,0,2.5
695,0,2.5
696,0,2.5
697,0,2.5
698,0,2.5
699,0,2.5
700,0,2.5
701,0,2.5
702,0,2.5
703,0,2.5
704,0,2.5
705,0.016666667,2.5
706,0.016666667,2.5
707,0.016666667,2.5
708,0.016666667,2.5
709,0.044444444,3.3
710,0.044444444,3.3
711,0.044444444,3.3
712,0.044444444,3.3
713,0.091666667,4.3
714,0.091666667,4.3
715,0.091666667,4.3
716,0.091666667,4.3
717,0.080555556,5.6
718,0.080555556,5.6
719,0.080555556,5.6
720,0.080555556,5.6
721,0.066666667,6.1
722,0.066666667,6.1
723,0.066666667,6.1
724,0.066666667,6.1
725,0.025,6.4
726,0.025,6.4
727,0.025,6.4
728,0.025,6.4
729,0.008333333,6.7
730,0.008333333,6.7
731,0.008333333,6.7
732,0.008333333,6.7
733,0.002777778,6.3
734,0.002777778,6.3
735,0.002777778,6.3
736,0.002777778,6.3
737,0,5.6
738,0,5.6
739,0,5.6
740,0,5.6
741,0,5.5
742,0,5.5
743,0,5.5
744,0,5.5
745,0,5.3
746,0,5.3
747,0,5.3
748,0,5.3
749,0,5.2
750,0,5.2
751,0,5.2
752,0,5.2
753,0,5.1
754,0,5.1
755,0,5.1
756,0,5.1
757,0,5
758,0,5
759,0,5
760,0,5
761,0,4.8
762,0,4.8
763,0,4.8
764,0,4.8
765,0,4.7
766,0,4.7
767,0,4.7
768,0,4.7
769,0,4.5
770,0,4.5
771,0,4.5
772,0,4.5
773,0,4.3
774,0,4.3
775,0,4.3
776,0,4.3
777,0,4.1
778,0,4.1
779,0,4.1
780,0,4.1
781,0,3.9
782,0,3.9
783,0,3.9
784,0,3.9
785,0,3.8
786,0,3.8
787,0,3.8
788,0,3.8
789,0,3.6
790,0,3.6
791,0,3.6
792,0,3.6
793,0,3.5
794,0,3.5
795,0,3.5
796,0,3.5
797,0,3.4
798,0,3.4
799,0,3.4
800,0,3.4
801,0.013888889,3.3
802,0.013888889,3.3
803,0.013888889,3.3
804,0.013888889,3.3
805,0.044444444,3.6
806,0.044444444,3.6
807,0.044444444,3.6
808,0.044444444,3.6
809,0.075,3.9
810,0.075,3.9
811,0.075,3.9
812,0.075,3.9
813,0.136111111,4.2
814,0.136111111,4.2
815,0.136111111,4.2
816,0.136111111,4.2
817,0.138888889,4.4
818,0.138888889,4.4
